Unicode(s)	Character(s)	Glyph name	Character name(s)	Added
006F,0323,0303	&#x006F;&#x0323;&#x0303;	n/a	LATIN SMALL LETTER O , COMBINING DOT BELOW , COMBINING TILDE	&bull;
006F,0323,0304	&#x006F;&#x0323;&#x0304;	n/a	LATIN SMALL LETTER O , COMBINING DOT BELOW , COMBINING MACRON	&bull;
006F,0323,030C	&#x006F;&#x0323;&#x030C;	n/a	LATIN SMALL LETTER O , COMBINING DOT BELOW , COMBINING CARON	&bull;
006F,0323,1DC4	&#x006F;&#x0323;&#x1DC4;	n/a	LATIN SMALL LETTER O , COMBINING DOT BELOW , COMBINING MACRON-ACUTE	&bull;
006F,0323,1DC5	&#x006F;&#x0323;&#x1DC5;	n/a	LATIN SMALL LETTER O , COMBINING DOT BELOW , COMBINING GRAVE-MACRON	&bull;
006F,0323,1DC6	&#x006F;&#x0323;&#x1DC6;	n/a	LATIN SMALL LETTER O , COMBINING DOT BELOW , COMBINING MACRON-GRAVE	&bull;
006F,0323,1DC7	&#x006F;&#x0323;&#x1DC7;	n/a	LATIN SMALL LETTER O , COMBINING DOT BELOW , COMBINING ACUTE-MACRON	&bull;
006F,0327	&#x006F;&#x0327;	uni006F0327	LATIN SMALL LETTER O , COMBINING CEDILLA	&bull;
006F,0331	&#x006F;&#x0331;	n/a	LATIN SMALL LETTER O , COMBINING MACRON BELOW	&bull;
006F,1DC4	&#x006F;&#x1DC4;	n/a	LATIN SMALL LETTER O , COMBINING MACRON-ACUTE	&bull;
